Date,Secondary formation,Industry emission,Coal combustion,Dust emission,Vehicle emission,Biomass burning
12/24/2020 0:00,0.00 ,21.28 ,9.90 ,10.31 ,22.59 ,9.96 
12/24/2020 1:00,8.17 ,13.42 ,0.15 ,8.81 ,17.63 ,9.44 
12/24/2020 2:00,7.55 ,7.75 ,0.00 ,9.14 ,20.56 ,15.53 
12/24/2020 3:00,7.00 ,7.79 ,2.60 ,5.38 ,20.84 ,28.84 
12/24/2020 4:00,12.23 ,4.85 ,2.31 ,6.52 ,15.74 ,35.53 
12/24/2020 5:00,10.99 ,2.11 ,2.98 ,6.36 ,19.87 ,30.84 
12/24/2020 6:00,15.63 ,2.17 ,0.00 ,5.85 ,19.48 ,26.79 
12/24/2020 7:00,14.79 ,5.05 ,1.02 ,4.56 ,24.57 ,13.16 
12/24/2020 8:00,,,,,,
12/24/2020 9:00,,,,,,
12/24/2020 10:00,,,,,,
12/24/2020 11:00,7.49 ,0.68 ,12.48 ,5.95 ,26.64 ,4.06 
12/24/2020 12:00,10.43 ,3.30 ,7.79 ,5.55 ,22.65 ,5.38 
12/24/2020 13:00,9.10 ,0.85 ,4.50 ,5.79 ,18.67 ,6.17 
12/24/2020 14:00,6.27 ,0.00 ,7.48 ,5.95 ,10.45 ,8.99 
12/24/2020 15:00,6.31 ,0.87 ,4.26 ,5.42 ,5.89 ,5.78 
12/24/2020 16:00,8.11 ,1.85 ,1.71 ,5.24 ,5.18 ,6.05 
12/24/2020 17:00,9.02 ,2.35 ,0.85 ,5.89 ,5.69 ,3.69 
12/24/2020 18:00,7.30 ,3.92 ,2.20 ,5.67 ,6.97 ,4.65 
12/24/2020 19:00,9.40 ,8.45 ,0.00 ,5.51 ,8.40 ,3.86 
12/24/2020 20:00,11.01 ,6.80 ,1.86 ,6.01 ,5.62 ,9.72 
12/24/2020 21:00,11.53 ,18.09 ,0.00 ,6.52 ,27.99 ,2.09 
12/24/2020 22:00,3.60 ,14.74 ,2.64 ,8.18 ,34.73 ,5.05 
12/24/2020 23:00,6.45 ,21.09 ,2.01 ,5.74 ,31.49 ,16.79 
12/25/2020 0:00,7.30 ,14.38 ,5.69 ,2.96 ,29.98 ,26.31 
12/25/2020 1:00,9.12 ,19.78 ,3.57 ,5.24 ,50.56 ,24.26 
12/25/2020 2:00,0.00 ,20.90 ,18.08 ,4.89 ,59.77 ,11.36 
12/25/2020 3:00,2.27 ,16.38 ,16.83 ,6.78 ,58.98 ,12.08 
12/25/2020 4:00,11.40 ,13.90 ,13.50 ,5.26 ,57.49 ,22.36 
12/25/2020 5:00,7.47 ,10.08 ,15.54 ,4.42 ,54.04 ,40.15 
12/25/2020 6:00,16.67 ,7.52 ,10.21 ,4.46 ,39.09 ,52.07 
12/25/2020 7:00,17.68 ,9.14 ,10.99 ,4.74 ,37.97 ,52.76 
12/25/2020 8:00,19.51 ,15.78 ,6.92 ,2.31 ,41.12 ,49.65 
12/25/2020 9:00,20.01 ,14.10 ,11.76 ,3.76 ,32.74 ,56.42 
12/25/2020 10:00,22.76 ,14.02 ,14.40 ,4.35 ,21.93 ,51.59 
12/25/2020 11:00,27.00 ,13.56 ,14.26 ,4.22 ,26.74 ,43.55 
12/25/2020 12:00,33.23 ,9.07 ,12.75 ,4.10 ,34.75 ,37.09 
12/25/2020 13:00,31.27 ,8.11 ,14.49 ,4.25 ,34.77 ,34.03 
12/25/2020 14:00,32.39 ,7.51 ,17.35 ,4.24 ,23.58 ,36.83 
12/25/2020 15:00,28.75 ,6.08 ,19.80 ,5.24 ,21.74 ,31.65 
12/25/2020 16:00,25.15 ,5.88 ,21.06 ,5.76 ,23.60 ,24.32 
